x,y
713.15,2915.4311
711.67,2921.398
710.74,2923.3711
710.12,2919.2506
709.65,2930.7993
708.82,2937.7712
707.11,2956.1116
707.03,2943.7525
706.08,2920.8968
708.65,2919.7408
709.02,2890.0306
707.55,2931.7493
708.73,2935.873
709.03,2939.3151
709.13,2967.6341
708.65,2965.2717
706.71,2970.6203
705.55,2979.5505
708.08,2961.5164
707.95,2984.6741
707.1,3025.981
705.66,3090.5693
706.38,3152.8126
706.63,3332.8807
703.1,3345.3369
702.07,3403.4401
700.85,3450.5935
699.43,3383.3222
699.65,3443.2863
699.96,3414.6186
699.82,3361.3044
699.13,3210.0986
700.43,3214.1287
699.28,3314.149
698.62,3320.8947
697.18,3333.1635
699.21,3325.1102
699.38,3196.7684
700.29,3205.2268
698.95,3227.9604
699.69,3294.5521
699.02,3286.822
698.48,3310.0065
699.8,3367.9658
698.03,3371.6875
697.52,3377.5648
694.38,3386.4631
694.08,3354.0352
696.49,3379.2524
697.11,3340.29
695.97,3319.2656
694.29,3320.7261
694.05,3360.0988
